compound_s,positive_s,negative_s,neutral_s
0.16874,0.1544,0.0618,0.7838
-0.07781999999999997,0.0598,0.10600000000000001,0.8341999999999998
0.1096,0.05625,0.024,0.91975
0.0,0.0,0.0,1.0
